,닉네임,ID,내용,날짜,시간
42,지원.다녤만세,@jiwonmanse2017,"RT @redhaird: 출근했는데 스우파 얘기하는 머글 많아!!!
근데 강다니엘 팬이라니까 
나한테 축하한대..😆😆😆
MC 너무 귀엽다고. ㅋㅋㅋㅋ
캡쳐해서 사진도 보내줬어. ㅋㅋㅋㅋㅋ
반응이 점점 심상치 않아~~😊😊
#강다니엘 #KANGDANIE…",2021-09-02,08:25:03
43,강다니엘 심바녤,@danielspaws,"RT @esse55555: 힝 나 토닥리즘 사랑하게 될 것 같아
다니티가 얘기하던거 저기 다 있어
그리고 강다니엘 너 너무 이쁘잖아
#강다니엘 #KANGDANIEL https://t.co/zHK5dDzJ4F",2021-09-02,08:24:58
44,🦖 시나브로다녤 🖋🖤 MC다니엘⁰⁸²⁴🇰🇷🦖,@sinabrodaniel,"그는 너무 뜨겁지도 차갑지도 않게, 모두가 배틀을 즐길 수 있도록 스테이지의 키를 잡고 있죠.
....... 본격적인 배틀이 거듭될수록 날카로운 신경전과 화끈한 댄스 배틀로 열기는 점점 뜨거워지겠죠. 그 가… https://t.co/xVSMkB2u0c",2021-09-02,08:24:58
45,녜리961210,@Tx3HFCV71SZ7Qyc,"RT @DanielK_youtube: 스우파의 신의 한수
MC 강다니엘 리액션 영상 플리입니다 
예쁜 댓글도 많이 부탁드려요

This is MC Daniel's reaction cam playlist
Please write many good com…",2021-09-02,08:24:52
46,지원.다녤만세,@jiwonmanse2017,"RT @sinabrodaniel: [우빈의 리듬파워] 강다니엘, '스우파'가 둔 신의 한수 (출처 : 텐아시아) https://t.co/paxCZ793ua

스우파 MC 강다니엘의 매력을 아주 정확하게 꿰뚫고 있는 좋은 기사입니다!

📰 ...강다니…",2021-09-02,08:24:50
47,💛핑쿠댕댕 💛,@peachjin1210,"RT @KarenKim01: [네이버 블로그]
다니티들, 토닥리즘- 강다니엘과 집콕 데이트, 유튜브에 떴어요!!(유니버스)
https://t.co/crCp5qPKpT

#강다니엘 #KANGDANIEL @konnect_danielk",2021-09-02,08:24:42
48,너와나의 핑크머리걔 pinkhairguy,@pinkhairguy,"RT @leonawonderland: &lt;스우파&gt; 스테이지 위의 강다니엘 https://t.co/TWOuH8fGr0
#강다니엘 #KangDaniel 
@konnect_danielk",2021-09-02,08:24:35
49,🦖스릉흔드녜리_만병통치다녤_🖤,@cure_all_Daniel,"RT @stone4daniel_2: 🎥 강다니엘 영상 

210901 [2회 약자지목배틀 리액션캠] MC 강다니엘

🔗 출처 :  네이버TV 
https://t.co/IUVMjPzYu9 

🔗 출처 :  유튜브
https://t.co/PIYrhocg…",2021-09-02,08:24:25
50,|||แดเนียลหยุดผัด˙Ⱉ˙,@jaaoitai_,RT @jjkdniel2: 스우파2화 강다니엘 리액션캠 댄스모먼트 https://t.co/H0cHaOdE7X,2021-09-02,08:24:15
51,매직보이,@magicboyniel,"RT @KarenKim01: [네이버 블로그]
다니티들, 토닥리즘- 강다니엘과 집콕 데이트, 유튜브에 떴어요!!(유니버스)
https://t.co/crCp5qPKpT

#강다니엘 #KANGDANIEL @konnect_danielk",2021-09-02,08:24:15
52,멍뭉미녜리짱🐈,@angeldanity1210,"역시 강다니엘👏👏👏

#강다니엘 #KANGDANIEL #스우파_강다니엘
@konnect_danielk

https://t.co/n8E8LBdFe0",2021-09-02,08:24:00
