,닉네임,ID,내용,날짜,시간
58,모커홀모,@raingoeswell,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:29:05
59,𝙸𝚂𝚂𝙰𝙲,@isaac_ishere,"애초에 제가 맛있음을 느끼고, 아니, ‘인식하고’. 행복감이란 것을 ‘인지’ 할 수 있다고 해도, 결국 프로그래밍의 산물일 뿐일 텐데. 그게 가치가 있습니까?",2021-09-02,08:28:48
60,Fine___,@youthisyours_1,"RT @sunbaelee: 쿠팡 불매운동 실패했나 봄. 기사 내용대로 “안 쓸 이유 약했고, 쓸 이유는 많았다”. 가치 소비가 현재 대중적 트렌드라고 오해하면 안 된단 점. 하지만 시작은 미약하나 나중은 창대하리라는 말처럼 인식 고취에 의의를 두고…",2021-09-02,08:28:45
61,💛새오❤,@buy_chicken_u3u,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:28:43
62,Ángel 🌸🦕JUNGKOOK DAY!,@abbys_jinnie,"RT @kaachiofficial: KAACHI 가치 ‘The One Thing’ Official Lyric Video 💖

https://t.co/dCQKTXON6n",2021-09-02,08:28:33
63,멸연,@_VioletBird,"RT @3pSGW2xpotxCSlL: 스페셜 의장 가치 보존은 모션으로 커버가 된다고 생각하는데, 이렇게 되면 노모션 의장 가격은 떨어지고 스페셜 의장만 가격 올라서 키트는 사실상 스페셜 의장 제외하면 거의 득이 없다고 봐야 하는 수준이 됨.",2021-09-02,08:28:27
64,나랫마루@목욜 블wi,@Naraemaru,RT @Chuverall: 작가님이 자신이 주력으로 하는 분야 아닌 다른쪽에서 재능을 발휘해 잘 되시는 건 응원하고 축하받아야 하는 일이 맞는데 그렇다고 이전에 해 오신 일이 가치절하 되어선 안 되는 거죠... '(GL말고) 이걸 하셨어야 했다'라던…,2021-09-02,08:28:18
65,KIM SUN MI,@nanjakga,"RT @parknamchun: ""감사합니다. 고맙습니다""

합의를 위해 새벽까지 사력을 다해주신 노조와 보건복지부 모두 고맙습니다. 특히 국민의 안전과 건강을 최고의 가치로 두는  보건의료노조에 경의를 표합니다.

인천도 공공의료 강화, 보건의료인력…",2021-09-02,08:28:07
66,샤인799,@MKtsMDEOP0JzV38,"RT @happy_CSR_: 정성호가 TV토론에서의 이재명 답변 태도에 대해 ""후보가 판단해서 답변할 필요성이 없다, 답변할 가치가 없는 사안이다 하면 답변 안 할 수 있는 것 아니냐. 모든 질문에 답변해야 될 의무가 있는 것은 아니지 않냐""고 했다…",2021-09-02,08:28:05
67,애옹야옹,@beirei_0129,"RT @sunbaelee: 쿠팡 불매운동 실패했나 봄. 기사 내용대로 “안 쓸 이유 약했고, 쓸 이유는 많았다”. 가치 소비가 현재 대중적 트렌드라고 오해하면 안 된단 점. 하지만 시작은 미약하나 나중은 창대하리라는 말처럼 인식 고취에 의의를 두고…",2021-09-02,08:28:02
